blocknumber,timestamp,totalLiquidity.value,totalLiquidity.token.address,datatokenCount,fixedCount,nftCount,poolCount
29294398,1654646400,500,0x282d8efce846a88b159800bd4130ad77443fa1a1,5,1,5,1
29304517,1654668000,501.006028120498024096,0x282d8efce846a88b159800bd4130ad77443fa1a1,5,1,5,1
29314546,1654689600,1355.042209351395250307,0x282d8efce846a88b159800bd4130ad77443fa1a1,6,1,6,2
29324636,1654711200,1656.059291566878914597,0x282d8efce846a88b159800bd4130ad77443fa1a1,7,1,7,3
29334792,1654732800,2680.059291566878914597,0x282d8efce846a88b159800bd4130ad77443fa1a1,10,1,13,4
29344891,1654754400,2680.059291566878914597,0x282d8efce846a88b159800bd4130ad77443fa1a1,14,3,17,4
29354741,1654776000,13419.148864521732847962,0x282d8efce846a88b159800bd4130ad77443fa1a1,27,4,30,5
29364770,1654797600,22568.522425664152732919,0x282d8efce846a88b159800bd4130ad77443fa1a1,27,4,30,5
29374804,1654819200,24881.621118927279493205,0x282d8efce846a88b159800bd4130ad77443fa1a1,28,5,31,5
29384344,1654840800,24882.628492904794906157,0x282d8efce846a88b159800bd4130ad77443fa1a1,30,7,33,5
29394252,1654862400,24882.628492904794906157,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29404219,1654884000,25932.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29414245,1654905600,25932.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29424561,1654927200,25932.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29435023,1654948800,26232.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29445307,1654970400,26232.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29455400,1654992000,26802.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29465623,1655013600,26802.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29476031,1655035200,26802.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29486350,1655056800,26802.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29495953,1655078400,33208.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,33,8,36,5
29506212,1655100000,33208.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,34,8,37,5
29516223,1655121600,33208.628073743774742925,0x282d8efce846a88b159800bd4130ad77443fa1a1,34,8,37,5
29525872,1655143200,36560.888781427420946262,0x282d8efce846a88b159800bd4130ad77443fa1a1,35,9,38,5
29536016,1655164800,37614.973827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,37,9,40,5
29546366,1655186400,40377.809827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29556264,1655208000,45377.809827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29566522,1655229600,47568.650827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29576783,1655251200,51571.650827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29586623,1655272800,51621.650827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29596966,1655294400,51621.650827329831363254,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29606993,1655316000,54996.429871009505731548,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29617176,1655337600,135351.004439581888113553,0x282d8efce846a88b159800bd4130ad77443fa1a1,39,9,42,5
29626953,1655359200,192599.743439581888113553,0x282d8efce846a88b159800bd4130ad77443fa1a1,43,9,46,5
29636133,1655380800,213455.198439581888113553,0x282d8efce846a88b159800bd4130ad77443fa1a1,45,9,48,5
29645646,1655402400,539171.876645752160917776,0x282d8efce846a88b159800bd4130ad77443fa1a1,46,10,49,5
29655731,1655424000,564167.519094807480429733,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29665767,1655445600,566782.661212228292681089,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29675609,1655467200,1084162.49326257365320367,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29685103,1655488800,1081609.907262573653200267,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29694828,1655510400,1081531.698674825198893205,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29703991,1655532000,1081631.698674825198893205,0x282d8efce846a88b159800bd4130ad77443fa1a1,47,10,50,6
29713716,1655553600,1081733.110201236946981224,0x282d8efce846a88b159800bd4130ad77443fa1a1,48,10,51,7
29723585,1655575200,1113857.197201236946981224,0x282d8efce846a88b159800bd4130ad77443fa1a1,51,12,54,8
29732931,1655596800,1115863.197201236946981224,0x282d8efce846a88b159800bd4130ad77443fa1a1,51,12,54,8
29742877,1655618400,1126524.124414237428797238,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29752621,1655640000,1390342.773877085867939512,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29762160,1655661600,1431971.143780320964665431,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29771639,1655683200,1436160.217476061338723287,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29780930,1655704800,1458431.596476061338723287,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29790274,1655726400,1458582.697325408124680433,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,55,9
29799531,1655748000,1492013.242288256996173185,0x282d8efce846a88b159800bd4130ad77443fa1a1,52,12,72,9
